Date,CinemaNumber,Time,isPremiere?,MovieTitle,MovieLength
10/02/2023,1,1:00:00 pm,FALSE,Kung-Fu Panda,160
10/02/2023,1,3:00:00 pm,FALSE,Kung-Fu Panda,160
10/02/2023,1,5:00:00 pm,FALSE,Kung-Fu Panda,160
10/02/2023,2,1:00:00 pm,FALSE,Superman,180
10/02/2023,2,3:00:00 pm,FALSE,Superman,180
10/02/2023,2,5:00:00 pm,FALSE,Superman,180
10/02/2023,3,1:00:00 pm,TRUE,Spiderman,175
10/02/2023,3,3:00:00 pm,TRUE,Spiderman,175
10/02/2023,3,5:00:00 pm,TRUE,Spiderman,175
10/02/2023,4,1:00:00 pm,TRUE,Batman,155
10/02/2023,4,3:00:00 pm,TRUE,Batman,155
10/02/2023,4,5:00:00 pm,TRUE,Batman,155
10/03/2023,1,1:00:00 pm,FALSE,Kung-Fu Panda,160
10/03/2023,1,3:00:00 pm,FALSE,Kung-Fu Panda,160
10/03/2023,1,5:00:00 pm,FALSE,Kung-Fu Panda,160
10/03/2023,2,1:00:00 pm,FALSE,Superman,180
10/03/2023,2,3:00:00 pm,FALSE,Superman,180
10/03/2023,2,5:00:00 pm,FALSE,Superman,180
10/03/2023,3,1:00:00 pm,TRUE,Spiderman,175
10/03/2023,3,3:00:00 pm,TRUE,Spiderman,175
10/03/2023,3,5:00:00 pm,TRUE,Spiderman,175
10/03/2023,4,1:00:00 pm,TRUE,Batman,155
10/03/2023,4,3:00:00 pm,TRUE,Batman,155
10/03/2023,4,5:00:00 pm,TRUE,Batman,155
10/04/2023,1,1:00:00 pm,FALSE,Kung-Fu Panda,160
10/04/2023,1,3:00:00 pm,FALSE,Kung-Fu Panda,160
10/04/2023,1,5:00:00 pm,FALSE,Kung-Fu Panda,160
10/04/2023,2,1:00:00 pm,FALSE,Superman,180
10/04/2023,2,3:00:00 pm,FALSE,Superman,180
10/04/2023,2,5:00:00 pm,FALSE,Superman,180
10/04/2023,3,1:00:00 pm,TRUE,Spiderman,175
10/04/2023,3,3:00:00 pm,TRUE,Spiderman,175
10/04/2023,3,5:00:00 pm,TRUE,Spiderman,175
10/04/2023,4,1:00:00 pm,TRUE,Batman,155
10/04/2023,4,3:00:00 pm,TRUE,Batman,155
10/04/2023,4,5:00:00 pm,TRUE,Batman,155
10/05/2023,1,1:00:00 pm,FALSE,Kung-Fu Panda,160
10/05/2023,1,3:00:00 pm,FALSE,Kung-Fu Panda,160
10/05/2023,1,5:00:00 pm,FALSE,Kung-Fu Panda,160
10/05/2023,2,1:00:00 pm,FALSE,Superman,180
10/05/2023,2,3:00:00 pm,FALSE,Superman,180
10/05/2023,2,5:00:00 pm,FALSE,Superman,180
10/05/2023,3,1:00:00 pm,TRUE,Spiderman,175
10/05/2023,3,3:00:00 pm,TRUE,Spiderman,175
10/05/2023,3,5:00:00 pm,TRUE,Spiderman,175
10/05/2023,4,1:00:00 pm,TRUE,Batman,155
10/05/2023,4,3:00:00 pm,TRUE,Batman,155
10/05/2023,4,5:00:00 pm,TRUE,Batman,155
10/06/2023,1,1:00:00 pm,FALSE,Kung-Fu Panda,160
10/06/2023,1,3:00:00 pm,FALSE,Kung-Fu Panda,160
10/06/2023,1,5:00:00 pm,FALSE,Kung-Fu Panda,160
10/06/2023,2,1:00:00 pm,FALSE,Superman,180
10/06/2023,2,3:00:00 pm,FALSE,Superman,180
10/06/2023,2,5:00:00 pm,FALSE,Superman,180
10/06/2023,3,1:00:00 pm,TRUE,Spiderman,175
10/06/2023,3,3:00:00 pm,TRUE,Spiderman,175
10/06/2023,3,5:00:00 pm,TRUE,Spiderman,175
10/06/2023,4,1:00:00 pm,TRUE,Batman,155
10/06/2023,4,3:00:00 pm,TRUE,Batman,155
10/06/2023,4,5:00:00 pm,TRUE,Batman,155
10/07/2023,1,1:00:00 pm,FALSE,Kung-Fu Panda,160
10/07/2023,1,3:00:00 pm,FALSE,Kung-Fu Panda,160
10/07/2023,1,5:00:00 pm,FALSE,Kung-Fu Panda,160
10/07/2023,2,1:00:00 pm,FALSE,Superman,180
10/07/2023,2,3:00:00 pm,FALSE,Superman,180
10/07/2023,2,5:00:00 pm,FALSE,Superman,180
10/07/2023,3,1:00:00 pm,TRUE,Spiderman,175
10/07/2023,3,3:00:00 pm,TRUE,Spiderman,175
10/07/2023,3,5:00:00 pm,TRUE,Spiderman,175
10/07/2023,4,1:00:00 pm,TRUE,Batman,155
10/07/2023,4,3:00:00 pm,TRUE,Batman,155
10/07/2023,4,5:00:00 pm,TRUE,Batman,155
10/08/2023,1,1:00:00 pm,FALSE,Kung-Fu Panda,160
10/08/2023,1,3:00:00 pm,FALSE,Kung-Fu Panda,160
